Review ID,Month,Property ID,Property Address,Borough,Neighborhood,Asset Type,Property Manager,Finding Owner,Review Type,Issue Category,Severity,Status,Finding Description,Recommendation,Recommended Follow-Up Priority
REV-0001407,2025-12-01,PROP-0109,121 WELLINGTON COURT,Staten Island,NEW SPRINGVILLE,Multifamily Condo,Drew Thompson,Casey Rivera,Monthly Financial Review,Expense over budget,High,In Review,Expense over budget detected for 2025-12-01. Expense variance 20.9%; income variance -9.5%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",High priority follow-up
REV-0000418,2025-12-01,PROP-0015,38-22 147 STREET,Queens,FLUSHING-NORTH,Multifamily Condo,Jordan Lee,Casey Rivera,Vendor Invoice Review,Approval status: Rejected,High,Open,Invoice INV-0015-12-00963 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0001806,2025-12-01,PROP-0015,38-22 147 STREET,Queens,FLUSHING-NORTH,Multifamily Condo,Jordan Lee,Riley Chen,Operations/SLA Review,Overdue work order,High,Open,High priority Preventive Maintenance work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0001312,2025-12-01,PROP-0076,1078 FULTON STREET,Brooklyn,BEDFORD STUYVESANT,Multifamily Condo,Jordan Lee,Drew Thompson,Monthly Financial Review,Income below budget,High,Open,Income below budget detected for 2025-12-01. Expense variance 12.0%; income variance -20.6%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0001812,2025-12-01,PROP-0095,378 BALTIC STREET,Brooklyn,CARROLL GARDENS,Multifamily Condo,Jordan Lee,Avery Johnson,Operations/SLA Review,Overdue work order,High,In Review,High priority HVAC work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0001829,2025-12-01,PROP-0117,346 EAST 21 STREET,Manhattan,KIPS BAY,Multifamily Condo,Jordan Lee,Drew Thompson,Operations/SLA Review,Overdue work order,High,In Review,Critical priority Janitorial work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0001220,2025-12-01,PROP-0153,2280 FREDERICK DOUGLASS BLVD,Manhattan,HARLEM-CENTRAL,Multifamily Condo,Jordan Lee,Taylor Morgan,Monthly Financial Review,Income below budget,High,Open,Income below budget detected for 2025-12-01. Expense variance -4.0%; income variance -16.4%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0001999,2025-12-01,PROP-0008,145 LINCOLN AVENUE,Staten Island,GRANT CITY,Multifamily Condo,Morgan Patel,Jordan Lee,Operations/SLA Review,Overdue work order,High,Open,High priority Elevator work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0000922,2025-12-01,PROP-0065,3427 BRUCKNER BOULEVARD,Bronx,SCHUYLERVILLE/PELHAM BAY,Multifamily Condo,Morgan Patel,Drew Thompson,Vendor Invoice Review,Late payment,High,Open,Invoice INV-0065-12-03992 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0001935,2025-12-01,PROP-0065,3427 BRUCKNER BOULEVARD,Bronx,SCHUYLERVILLE/PELHAM BAY,Multifamily Condo,Morgan Patel,Drew Thompson,Operations/SLA Review,Overdue work order,High,In Review,High priority Electrical work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0000187,2025-12-01,PROP-0098,151 WEST 17 STREET,Manhattan,CHELSEA,Residential Condo,Nadia Williams,Jordan Lee,Vendor Invoice Review,Late payment,High,Open,Invoice INV-0098-12-05981 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0002032,2025-12-01,PROP-0103,7 GRAMERCY PARK WEST,Manhattan,GRAMERCY,Multifamily Condo,Nadia Williams,Riley Chen,Operations/SLA Review,Overdue work order,High,In Review,Critical priority Elevator work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0000995,2025-12-01,PROP-0104,10 NEVINS STREET,Brooklyn,DOWNTOWN-FULTON MALL,Residential Condo,Nadia Williams,Cameron Brooks,Vendor Invoice Review,Late payment,High,Open,Invoice INV-0104-12-06326 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0000608,2025-12-01,PROP-0011,24 DUNHAM PLACE,Brooklyn,WILLIAMSBURG-SOUTH,Residential Condo,Riley Chen,Cameron Brooks,Vendor Invoice Review,Approval status: Rejected,High,In Review,Invoice INV-0011-12-00699 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0000408,2025-12-01,PROP-0016,252 7 AVENUE,Manhattan,CHELSEA,Multifamily Condo,Riley Chen,Nadia Williams,Vendor Invoice Review,Missing GL code,High,Open,Invoice INV-0016-12-01021 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0000431,2025-12-01,PROP-0034,525 PARK AVENUE,Manhattan,UPPER EAST SIDE (59-79),Retail-Adjacent Condo,Samira Khan,Jordan Lee,Vendor Invoice Review,Approval status: Pending,High,In Review,Invoice INV-0034-12-02095 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0001046,2025-12-01,PROP-0058,65-38 AUSTIN STREET,Queens,REGO PARK,Residential Condo,Samira Khan,Riley Chen,Vendor Invoice Review,Approval status: Pending,High,Open,Invoice INV-0058-12-03553 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0001236,2025-12-01,PROP-0115,25-47 23 STREET,Queens,ASTORIA,Multifamily Condo,Taylor Morgan,Nadia Williams,Monthly Financial Review,Income below budget,High,In Review,Income below budget detected for 2025-12-01. Expense variance 2.4%; income variance -12.3%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",High priority follow-up
REV-0001867,2025-12-01,PROP-0140,80 RICHMOND HILL ROAD,Staten Island,NEW SPRINGVILLE,Multifamily Condo,Taylor Morgan,Drew Thompson,Operations/SLA Review,Overdue work order,High,Open,Critical priority Preventive Maintenance work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0001804,2025-12-01,PROP-0145,255 WEST 84 STREET,Manhattan,UPPER WEST SIDE (79-96),Multifamily Condo,Taylor Morgan,Jordan Lee,Operations/SLA Review,Overdue work order,High,In Review,High priority Preventive Maintenance work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0001088,2025-11-01,PROP-0030,200 SOUTH 2 STREET,Brooklyn,WILLIAMSBURG-SOUTH,Multifamily Condo,Avery Johnson,Samira Khan,Vendor Invoice Review,Approval status: Rejected,High,In Review,Invoice INV-0030-11-01867 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0001927,2025-11-01,PROP-0010,72 BERRY STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Cameron Brooks,Jordan Lee,Operations/SLA Review,Overdue work order,High,Open,High priority Common Area work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0001969,2025-11-01,PROP-0028,40-01 LITTLE NECK PARKWAY,Queens,LITTLE NECK,Multifamily Condo,Cameron Brooks,Avery Johnson,Operations/SLA Review,Overdue work order,High,Open,Critical priority Security work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0001239,2025-11-01,PROP-0073,1530 EAST 15 STREET,Brooklyn,MIDWOOD,Multifamily Condo,Cameron Brooks,Riley Chen,Monthly Financial Review,Expense over budget,High,In Review,Expense over budget detected for 2025-11-01. Expense variance 23.3%; income variance -6.3%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",High priority follow-up
REV-0001746,2025-11-01,PROP-0122,27 KING STREET,Manhattan,SOHO,Residential Condo,Cameron Brooks,Drew Thompson,Operations/SLA Review,Overdue work order,High,In Review,Critical priority Common Area work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0001286,2025-11-01,PROP-0167,220 WEST BROADWAY,Manhattan,TRIBECA,Multifamily Condo,Cameron Brooks,Cameron Brooks,Monthly Financial Review,Income below budget,High,Open,Income below budget detected for 2025-11-01. Expense variance 4.0%; income variance -13.8%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0001911,2025-11-01,PROP-0045,55 3 AVENUE,Manhattan,EAST VILLAGE,Residential Condo,Casey Rivera,Samira Khan,Operations/SLA Review,Overdue work order,High,Open,High priority Security work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0001478,2025-11-01,PROP-0064,178 DIVISION AVENUE,Brooklyn,75TH Q BROOKLYN,Mixed-Use Condo,Casey Rivera,Jordan Lee,Monthly Financial Review,Income below budget,High,In Review,Income below budget detected for 2025-11-01. Expense variance 7.5%; income variance -14.0%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",High priority follow-up
REV-0000878,2025-11-01,PROP-0086,11-24 31 AVENUE,Queens,ASTORIA,Residential Condo,Casey Rivera,Nadia Williams,Vendor Invoice Review,Late payment,High,Open,Invoice INV-0086-11-05274 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0001472,2025-11-01,PROP-0097,416 WEST 52 STREET,Manhattan,CLINTON,Multifamily Condo,Casey Rivera,Jordan Lee,Monthly Financial Review,Expense over budget,High,Open,Expense over budget detected for 2025-11-01. Expense variance 25.4%; income variance -2.5%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0000628,2025-11-01,PROP-0127,4721 8 AVENUE,Brooklyn,BOROUGH PARK,Residential Condo,Casey Rivera,Avery Johnson,Vendor Invoice Review,Missing GL code,High,In Review,Invoice INV-0127-11-07700 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0002017,2025-11-01,PROP-0001,354 BROADWAY,Manhattan,CHINATOWN,Mixed-Use Condo,Drew Thompson,Casey Rivera,Operations/SLA Review,Overdue work order,High,In Review,High priority Tenant Request work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0000742,2025-11-01,PROP-0021,1765 EAST 19 STREET,Brooklyn,MADISON,Multifamily Condo,Drew Thompson,Nadia Williams,Vendor Invoice Review,Late payment,High,Open,Invoice INV-0021-11-01329 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0001813,2025-11-01,PROP-0109,121 WELLINGTON COURT,Staten Island,NEW SPRINGVILLE,Multifamily Condo,Drew Thompson,Taylor Morgan,Operations/SLA Review,Overdue work order,High,Open,High priority HVAC work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0002134,2025-11-01,PROP-0114,245 WEST 115 STREET,Manhattan,HARLEM-CENTRAL,Mixed-Use Condo,Drew Thompson,Jordan Lee,Operations/SLA Review,Overdue work order,High,Open,High priority Electrical work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0001625,2025-11-01,PROP-0069,90 BAY STREET LANDING,Staten Island,NEW BRIGHTON-ST. GEORGE,Multifamily Condo,Jordan Lee,Casey Rivera,Monthly Financial Review,Income below budget,High,In Review,Income below budget detected for 2025-11-01. Expense variance -6.9%; income variance -12.2%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",High priority follow-up
REV-0000652,2025-11-01,PROP-0087,599 4 AVENUE,Brooklyn,SUNSET PARK,Mixed-Use Condo,Jordan Lee,Nadia Williams,Vendor Invoice Review,Late payment,High,In Review,Invoice INV-0087-11-05328 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0001384,2025-11-01,PROP-0143,54-09 108 STREET,Queens,CORONA,Multifamily Condo,Morgan Patel,Cameron Brooks,Monthly Financial Review,Expense over budget,High,Open,Expense over budget detected for 2025-11-01. Expense variance 15.1%; income variance -14.7%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0001427,2025-11-01,PROP-0013,125 NORTH 10 STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Nadia Williams,Nadia Williams,Monthly Financial Review,Income below budget,High,Open,Income below budget detected for 2025-11-01. Expense variance -2.7%; income variance -15.4%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0001952,2025-11-01,PROP-0013,125 NORTH 10 STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Nadia Williams,Morgan Patel,Operations/SLA Review,Overdue work order,High,In Review,Critical priority Preventive Maintenance work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0002109,2025-11-01,PROP-0041,601 WEST 41 STREET,Manhattan,CLINTON,Multifamily Condo,Nadia Williams,Drew Thompson,Operations/SLA Review,Overdue work order,High,In Review,High priority Security work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0001327,2025-11-01,PROP-0102,46-22 171 STREET,Queens,FLUSHING-NORTH,Mixed-Use Condo,Nadia Williams,Jordan Lee,Monthly Financial Review,Income below budget,High,In Review,Income below budget detected for 2025-11-01. Expense variance 5.3%; income variance -13.7%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",High priority follow-up
REV-0001431,2025-11-01,PROP-0119,318 WARREN STREET,Brooklyn,BOERUM HILL,Retail-Adjacent Condo,Nadia Williams,Samira Khan,Monthly Financial Review,Expense over budget,High,In Review,Expense over budget detected for 2025-11-01. Expense variance 28.4%; income variance -10.3%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",High priority follow-up
REV-0001914,2025-11-01,PROP-0011,24 DUNHAM PLACE,Brooklyn,WILLIAMSBURG-SOUTH,Residential Condo,Riley Chen,Drew Thompson,Operations/SLA Review,Overdue work order,High,Open,Critical priority Electrical work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0000515,2025-11-01,PROP-0019,29 SOUTH 3 STREET,Brooklyn,WILLIAMSBURG-SOUTH,Mixed-Use Condo,Riley Chen,Avery Johnson,Vendor Invoice Review,Approval status: Pending,High,Open,Invoice INV-0019-11-01202 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0000063,2025-11-01,PROP-0099,30 RUTGERS STREET,Manhattan,LOWER EAST SIDE,Multifamily Condo,Riley Chen,Samira Khan,Vendor Invoice Review,Approval status: Pending,High,In Review,Invoice INV-0099-11-06034 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0001632,2025-11-01,PROP-0056,3015 BRIGHTON 6 STREET,Brooklyn,BRIGHTON BEACH,Mixed-Use Condo,Samira Khan,Nadia Williams,Monthly Financial Review,Expense over budget,High,In Review,Expense over budget detected for 2025-11-01. Expense variance 23.7%; income variance -6.0%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",High priority follow-up
REV-0000883,2025-11-01,PROP-0144,123 3 AVENUE,Manhattan,EAST VILLAGE,Multifamily Condo,Samira Khan,Riley Chen,Vendor Invoice Review,Approval status: Pending,High,In Review,Invoice INV-0144-11-08734 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0001252,2025-11-01,PROP-0005,680 RIVERSIDE DRIVE,Manhattan,HARLEM-UPPER,Residential Condo,Taylor Morgan,Casey Rivera,Monthly Financial Review,Expense over budget,High,Open,Expense over budget detected for 2025-11-01. Expense variance 13.4%; income variance -13.2%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0001458,2025-11-01,PROP-0054,35 WEST END AVENUE,Brooklyn,MANHATTAN BEACH,Multifamily Condo,Taylor Morgan,Avery Johnson,Monthly Financial Review,Income below budget,High,In Review,Income below budget detected for 2025-11-01. Expense variance 8.6%; income variance -18.4%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",High priority follow-up
REV-0002099,2025-11-01,PROP-0115,25-47 23 STREET,Queens,ASTORIA,Multifamily Condo,Taylor Morgan,Samira Khan,Operations/SLA Review,Overdue work order,High,In Review,Critical priority Security work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0001903,2025-11-01,PROP-0140,80 RICHMOND HILL ROAD,Staten Island,NEW SPRINGVILLE,Multifamily Condo,Taylor Morgan,Morgan Patel,Operations/SLA Review,Overdue work order,High,Open,High priority Security work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0001430,2025-10-01,PROP-0072,700 RIVERSIDE DRIVE,Manhattan,HARLEM-UPPER,Multifamily Condo,Avery Johnson,Avery Johnson,Monthly Financial Review,Income below budget,High,Open,Income below budget detected for 2025-10-01. Expense variance 6.3%; income variance -17.1%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0000171,2025-10-01,PROP-0078,250 EAST HOUSTON STREET,Manhattan,ALPHABET CITY,Multifamily Condo,Avery Johnson,Jordan Lee,Vendor Invoice Review,Missing GL code,High,Open,Invoice INV-0078-10-04781 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0001826,2025-10-01,PROP-0125,48 BEACH STREET,Manhattan,TRIBECA,Multifamily Condo,Avery Johnson,Morgan Patel,Operations/SLA Review,Overdue work order,High,In Review,High priority Tenant Request work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0000114,2025-10-01,PROP-0152,2803 OCEAN PARKWAY,Brooklyn,BRIGHTON BEACH,Residential Condo,Avery Johnson,Samira Khan,Vendor Invoice Review,Approval status: Pending,High,In Review,Invoice INV-0152-10-09192 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0000376,2025-10-01,PROP-0010,72 BERRY STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Cameron Brooks,Avery Johnson,Vendor Invoice Review,Late payment; Approval status: Pending,High,In Review,"Invoice INV-0010-10-00632 requires review: Late payment, Approval status: Pending.","Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0002138,2025-10-01,PROP-0171,25 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),Mixed-Use Condo,Cameron Brooks,Jordan Lee,Operations/SLA Review,Overdue work order,High,Open,High priority HVAC work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0002163,2025-10-01,PROP-0042,205 BLEECKER STREET,Manhattan,GREENWICH VILLAGE-CENTRAL,Multifamily Condo,Casey Rivera,Morgan Patel,Operations/SLA Review,Overdue work order,High,In Review,Critical priority Janitorial work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0001916,2025-10-01,PROP-0060,200 EAST 58 STREET,Manhattan,MIDTOWN EAST,Multifamily Condo,Casey Rivera,Riley Chen,Operations/SLA Review,Overdue work order,High,Open,Critical priority Plumbing work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0000213,2025-10-01,PROP-0021,1765 EAST 19 STREET,Brooklyn,MADISON,Multifamily Condo,Drew Thompson,Cameron Brooks,Vendor Invoice Review,Approval status: Pending,High,Open,Invoice INV-0021-10-01326 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0001599,2025-10-01,PROP-0114,245 WEST 115 STREET,Manhattan,HARLEM-CENTRAL,Mixed-Use Condo,Drew Thompson,Nadia Williams,Monthly Financial Review,Income below budget,High,Open,Income below budget detected for 2025-10-01. Expense variance 5.0%; income variance -14.7%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0001725,2025-10-01,PROP-0168,57 READE STREET,Manhattan,CIVIC CENTER,Mixed-Use Condo,Drew Thompson,Riley Chen,Operations/SLA Review,Overdue work order,High,Open,Critical priority Common Area work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0001885,2025-10-01,PROP-0076,1078 FULTON STREET,Brooklyn,BEDFORD STUYVESANT,Multifamily Condo,Jordan Lee,Riley Chen,Operations/SLA Review,Overdue work order,High,Open,High priority Elevator work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0001775,2025-10-01,PROP-0136,55-16 MAIN STREET,Queens,FLUSHING-NORTH,Mixed-Use Condo,Jordan Lee,Avery Johnson,Operations/SLA Review,Overdue work order,High,Open,Critical priority Elevator work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0000066,2025-10-01,PROP-0151,140 NORTH 6 STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Jordan Lee,Riley Chen,Vendor Invoice Review,Potential duplicate invoice,High,Open,Invoice INV-0151-07-09127 requires review: Potential duplicate invoice.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0001118,2025-10-01,PROP-0013,125 NORTH 10 STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Nadia Williams,Casey Rivera,Vendor Invoice Review,Late payment,High,Open,Invoice INV-0013-10-00822 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0001792,2025-10-01,PROP-0033,550 VANDERBILT AVENUE,Brooklyn,PROSPECT HEIGHTS,Multifamily Condo,Nadia Williams,Taylor Morgan,Operations/SLA Review,Overdue work order,High,Open,High priority HVAC work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0002105,2025-10-01,PROP-0085,102 BRADHURST AVENUE,Manhattan,HARLEM-CENTRAL,Residential Condo,Nadia Williams,Cameron Brooks,Operations/SLA Review,Overdue work order,High,In Review,High priority Elevator work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0001079,2025-10-01,PROP-0102,46-22 171 STREET,Queens,FLUSHING-NORTH,Mixed-Use Condo,Nadia Williams,Taylor Morgan,Vendor Invoice Review,Late payment,High,In Review,Invoice INV-0102-10-06199 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0000027,2025-10-01,PROP-0020,299 BEDFORD AVENUE,Brooklyn,WILLIAMSBURG-SOUTH,Retail-Adjacent Condo,Riley Chen,Samira Khan,Vendor Invoice Review,Approval status: Rejected,High,In Review,Invoice INV-0020-10-01267 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
