review_id,property_id,month,review_type,issue_category,severity,finding_description,recommendation,status,owner,synthetic_record
REV-0000034,PROP-0147,2025-12-01,Vendor Invoice Review,Approval status: Pending,Low,Invoice INV-0147-12-08916 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Cameron Brooks,True
REV-0000035,PROP-0139,2025-10-01,Vendor Invoice Review,Potential duplicate invoice,Low,Invoice INV-0139-03-08396 requires review: Potential duplicate invoice.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Cameron Brooks,True
REV-0000036,PROP-0103,2025-03-01,Vendor Invoice Review,Potential duplicate invoice,Medium,Invoice INV-0102-06-06183 requires review: Potential duplicate invoice.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Nadia Williams,True
REV-0000037,PROP-0021,2025-08-01,Vendor Invoice Review,Late payment,High,Invoice INV-0021-08-01315 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Morgan Patel,True
REV-0000038,PROP-0124,2025-10-01,Vendor Invoice Review,Approval status: Rejected,Low,Invoice INV-0124-10-07519 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Avery Johnson,True
REV-0000039,PROP-0099,2025-09-01,Vendor Invoice Review,Approval status: Pending,High,Invoice INV-0099-09-06025 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Nadia Williams,True
REV-0000040,PROP-0114,2025-12-01,Vendor Invoice Review,Late payment,High,Invoice INV-0114-12-06945 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Avery Johnson,True
REV-0000041,PROP-0049,2025-10-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0049-10-03011 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Morgan Patel,True
REV-0000042,PROP-0140,2025-06-01,Vendor Invoice Review,Approval status: Rejected,Medium,Invoice INV-0140-06-08477 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Nadia Williams,True
REV-0000043,PROP-0161,2025-10-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0161-10-09722 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Drew Thompson,True
REV-0000044,PROP-0029,2025-08-01,Vendor Invoice Review,Approval status: Pending,Low,Invoice INV-0029-08-01792 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Cameron Brooks,True
REV-0000045,PROP-0039,2025-08-01,Vendor Invoice Review,Missing GL code,Low,Invoice INV-0039-08-02357 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Samira Khan,True
REV-0000046,PROP-0138,2025-09-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0138-09-08358 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Cameron Brooks,True
REV-0000047,PROP-0030,2025-01-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0030-01-01814 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Avery Johnson,True
REV-0000048,PROP-0102,2025-10-01,Vendor Invoice Review,Approval status: Rejected,Low,Invoice INV-0102-10-06200 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Drew Thompson,True
REV-0000049,PROP-0108,2025-12-01,Vendor Invoice Review,Approval status: Pending,High,Invoice INV-0108-12-06576 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Avery Johnson,True
REV-0000050,PROP-0029,2025-08-01,Vendor Invoice Review,Late payment,High,Invoice INV-0029-08-01789 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Nadia Williams,True
REV-0000051,PROP-0149,2025-03-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0149-03-08979 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Jordan Lee,True
REV-0000052,PROP-0165,2025-03-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0165-03-09930 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Nadia Williams,True
REV-0000053,PROP-0051,2025-02-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0051-02-03087 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Samira Khan,True
REV-0000054,PROP-0118,2025-06-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0118-06-07147 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Drew Thompson,True
REV-0000055,PROP-0071,2025-02-01,Vendor Invoice Review,Late payment,Low,Invoice INV-0071-02-04307 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Drew Thompson,True
REV-0000056,PROP-0137,2025-06-01,Vendor Invoice Review,Approval status: Pending,Low,Invoice INV-0137-06-08273 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Morgan Patel,True
REV-0000057,PROP-0082,2025-11-01,Vendor Invoice Review,Approval status: Rejected,Medium,Invoice INV-0082-11-05016 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Drew Thompson,True
REV-0000058,PROP-0100,2025-05-01,Vendor Invoice Review,Late payment,High,Invoice INV-0100-05-06068 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Jordan Lee,True
REV-0000059,PROP-0074,2025-12-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0074-12-04544 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Morgan Patel,True
REV-0000060,PROP-0048,2025-04-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0048-04-02918 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Samira Khan,True
REV-0000061,PROP-0111,2025-09-01,Vendor Invoice Review,Approval status: Pending,High,Invoice INV-0111-09-06742 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Casey Rivera,True
REV-0000062,PROP-0026,2025-03-01,Vendor Invoice Review,Late payment,Low,Invoice INV-0026-03-01596 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Samira Khan,True
REV-0000063,PROP-0099,2025-11-01,Vendor Invoice Review,Approval status: Pending,High,Invoice INV-0099-11-06034 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Samira Khan,True
REV-0000064,PROP-0046,2025-04-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0046-04-02798 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Avery Johnson,True
REV-0000065,PROP-0135,2025-06-01,Vendor Invoice Review,Approval status: Pending,Low,Invoice INV-0135-06-08153 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Jordan Lee,True
REV-0000066,PROP-0151,2025-10-01,Vendor Invoice Review,Potential duplicate invoice,High,Invoice INV-0151-07-09127 requires review: Potential duplicate invoice.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Riley Chen,True
REV-0000067,PROP-0139,2025-09-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0139-09-08432 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Drew Thompson,True
REV-0000068,PROP-0056,2025-05-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0056-05-03397 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Morgan Patel,True
REV-0000069,PROP-0162,2025-02-01,Vendor Invoice Review,Missing GL code,Medium,Invoice INV-0162-02-09743 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Taylor Morgan,True
REV-0000070,PROP-0052,2025-01-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0052-01-03142 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Samira Khan,True
REV-0000071,PROP-0164,2025-01-01,Vendor Invoice Review,Missing GL code,Low,Invoice INV-0164-01-09850 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Drew Thompson,True
REV-0000072,PROP-0025,2025-02-01,Vendor Invoice Review,Approval status: Pending,High,Invoice INV-0025-02-01530 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Samira Khan,True
REV-0000073,PROP-0084,2025-12-01,Vendor Invoice Review,Approval status: Pending,Low,Invoice INV-0084-12-05136 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Cameron Brooks,True
REV-0000074,PROP-0151,2025-04-01,Vendor Invoice Review,Missing GL code,Low,Invoice INV-0151-04-09108 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Morgan Patel,True
REV-0000075,PROP-0065,2025-07-01,Vendor Invoice Review,Late payment; Approval status: Pending,High,"Invoice INV-0065-07-03973 requires review: Late payment, Approval status: Pending.","Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Nadia Williams,True
REV-0000076,PROP-0131,2025-07-01,Vendor Invoice Review,Potential duplicate invoice,Medium,Invoice INV-0130-10-07873 requires review: Potential duplicate invoice.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Nadia Williams,True
REV-0000077,PROP-0164,2025-09-01,Vendor Invoice Review,Potential duplicate invoice; Missing GL code,High,"Invoice INV-0164-07-09887 requires review: Potential duplicate invoice, Missing GL code.","Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Casey Rivera,True
REV-0000078,PROP-0056,2025-07-01,Vendor Invoice Review,Approval status: Pending,Low,Invoice INV-0056-07-03404 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Riley Chen,True
REV-0000079,PROP-0019,2025-12-01,Vendor Invoice Review,Approval status: Pending,Low,Invoice INV-0019-12-01203 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Casey Rivera,True
REV-0000080,PROP-0041,2025-12-01,Vendor Invoice Review,Late payment,Low,Invoice INV-0041-12-02502 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Morgan Patel,True
REV-0000081,PROP-0030,2025-07-01,Vendor Invoice Review,Approval status: Rejected,Medium,Invoice INV-0030-07-01848 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Avery Johnson,True
REV-0000082,PROP-0057,2025-08-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0057-08-03463 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Morgan Patel,True
REV-0000083,PROP-0092,2025-09-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0092-09-05608 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Casey Rivera,True
REV-0000084,PROP-0076,2025-07-01,Vendor Invoice Review,Approval status: Rejected,Low,Invoice INV-0076-07-04649 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Jordan Lee,True
REV-0000085,PROP-0169,2025-01-01,Vendor Invoice Review,Late payment,Low,Invoice INV-0169-01-10163 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Casey Rivera,True
REV-0000086,PROP-0116,2025-08-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0116-08-07036 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Morgan Patel,True
REV-0000087,PROP-0142,2025-05-01,Vendor Invoice Review,Missing GL code,High,Invoice INV-0142-05-08586 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Riley Chen,True
REV-0000088,PROP-0162,2025-04-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0162-04-09749 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Riley Chen,True
REV-0000089,PROP-0057,2025-05-01,Vendor Invoice Review,Potential duplicate invoice; Approval status: Pending,Low,"Invoice INV-0056-09-03415 requires review: Potential duplicate invoice, Approval status: Pending.","Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Morgan Patel,True
REV-0000090,PROP-0075,2025-06-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0075-06-04580 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Casey Rivera,True
REV-0000091,PROP-0163,2025-05-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0163-05-09811 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Nadia Williams,True
REV-0000092,PROP-0130,2025-08-01,Vendor Invoice Review,Approval status: Rejected,Medium,Invoice INV-0130-08-07864 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Morgan Patel,True
REV-0000093,PROP-0024,2025-04-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0024-04-01477 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Casey Rivera,True
REV-0000094,PROP-0169,2025-08-01,Vendor Invoice Review,Late payment; Missing GL code,Medium,"Invoice INV-0169-08-10193 requires review: Late payment, Missing GL code.","Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Cameron Brooks,True
REV-0000095,PROP-0033,2025-11-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0033-11-02044 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Drew Thompson,True
REV-0000096,PROP-0053,2025-12-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0053-12-03252 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Cameron Brooks,True
REV-0000097,PROP-0138,2025-09-01,Vendor Invoice Review,Late payment,High,Invoice INV-0138-09-08357 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Riley Chen,True
REV-0000098,PROP-0072,2025-09-01,Vendor Invoice Review,Missing GL code,High,Invoice INV-0072-09-04399 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Morgan Patel,True
REV-0000099,PROP-0033,2025-10-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0033-10-02037 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Drew Thompson,True
REV-0000100,PROP-0163,2025-03-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0163-03-09798 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Drew Thompson,True
REV-0000101,PROP-0071,2025-03-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0071-03-04309 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Nadia Williams,True
REV-0000102,PROP-0033,2025-08-01,Vendor Invoice Review,Approval status: Rejected,Low,Invoice INV-0033-08-02026 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Cameron Brooks,True
REV-0000103,PROP-0021,2025-02-01,Vendor Invoice Review,Late payment,Medium,Invoice INV-0021-02-01283 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Jordan Lee,True
REV-0000104,PROP-0079,2025-05-01,Vendor Invoice Review,Late payment; Approval status: Rejected,Medium,"Invoice INV-0079-05-04816 requires review: Late payment, Approval status: Rejected.","Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Casey Rivera,True
REV-0000105,PROP-0134,2025-09-01,Vendor Invoice Review,Approval status: Rejected,Medium,Invoice INV-0134-09-08103 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Drew Thompson,True
REV-0000106,PROP-0069,2025-08-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0069-08-04217 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Jordan Lee,True
REV-0000107,PROP-0004,2025-11-01,Vendor Invoice Review,Approval status: Rejected,Medium,Invoice INV-0004-11-00257 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Samira Khan,True
REV-0000108,PROP-0012,2025-07-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0012-07-00744 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Drew Thompson,True
REV-0000109,PROP-0034,2025-08-01,Vendor Invoice Review,Missing GL code,Medium,Invoice INV-0034-08-02080 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open,Taylor Morgan,True
REV-0000110,PROP-0132,2025-11-01,Vendor Invoice Review,Approval status: Pending,Low,Invoice INV-0132-11-07991 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Casey Rivera,True
REV-0000111,PROP-0097,2025-08-01,Vendor Invoice Review,Approval status: Pending,Medium,Invoice INV-0097-08-05891 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Avery Johnson,True
REV-0000112,PROP-0165,2025-06-01,Vendor Invoice Review,Late payment,High,Invoice INV-0165-06-09956 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Drew Thompson,True
REV-0000113,PROP-0096,2025-04-01,Vendor Invoice Review,Late payment,Low,Invoice INV-0096-04-05817 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Cameron Brooks,True
REV-0000114,PROP-0152,2025-10-01,Vendor Invoice Review,Approval status: Pending,High,Invoice INV-0152-10-09192 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Samira Khan,True
REV-0000115,PROP-0153,2025-03-01,Vendor Invoice Review,Late payment,Low,Invoice INV-0153-03-09218 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Resolved,Morgan Patel,True
REV-0000116,PROP-0126,2025-08-01,Vendor Invoice Review,Late payment,Low,Invoice INV-0126-08-07632 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",In Review,Morgan Patel,True
